,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1254,6064,"SOUP,TURKEY,CHUNKY,CND,RTS",57,4.33,5.96,,,21.0,391.0,1.27
1357,6245,"CAMPBELL'S, CHNKY MICRO BOWL,GRLLD CHIC&SAUS GMBO,RTS",57,2.86,7.35,0.4,2.04,16.0,318.0,
1288,6145,"CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND",56,3.17,6.35,0.8,0.79,0.0,651.0,0.794
1235,6041,"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",56,2.38,7.94,0.8,0.79,0.0,603.0,
1396,6339,"CAMPBELL'S,CRM OF MUSHROOM W/ RSTD GARLIC SOUP,COND",56,1.61,8.06,1.6,0.81,16.0,387.0,1.209
1226,6027,"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS",56,3.02,7.84,1.2,1.67,28.0,417.0,1.29
1479,6461,"SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",56,1.78,8.44,0.6,0.73,9.0,367.0,1.325
1231,6037,"SOUP,LENTIL W/HAM,CND,RTS",56,3.74,8.16,,,17.0,532.0,0.97
1332,6218,"CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND",56,0.81,7.26,1.6,0.81,16.0,387.0,1.209
1329,6215,"CAMPBELL'S,98% FAT FREE BROCCOLI CHS SOUP,COND",56,1.61,9.68,0.8,2.42,32.0,387.0,0.806
1323,6209,"CAMPBELL'S,98% FAT FREE CRM OF BROCCOLI SOUP,COND",56,1.61,8.06,1.6,0.81,16.0,565.0,
1401,6349,"CAMPBELL'S RED & WHITE,SCOOBY-DOO SOUP,COND",56,2.38,8.73,0.8,0.79,16.0,627.0,1.191
1241,6047,"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",56,2.38,8.73,0.8,0.79,0.0,381.0,1.191
7766,27015,"CAMPBELL'S RED & WHITE,PHINEAS & FERB SOUP,COND",56,2.38,8.73,0.8,0.79,16.0,627.0,1.191
1247,6054,"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND",56,2.38,9.52,0.8,0.79,0.0,381.0,0.794
1447,6415,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",56,2.89,8.98,1.0,1.17,10.0,308.0,0.758
1608,6988,"CAMPBELL'S HEALTHY REQUEST,CRM OF MUSHROOM SOUP,COND",55,1.29,8.6,1.0,1.79,71.0,327.0,0.66
1543,6619,"SMART SOUP,SANTA FE CORN CHOWDER",55,2.0,11.2,2.0,3.6,23.0,131.0,
1409,6359,"SOUP,TOMATO,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",55,2.42,9.82,0.5,6.59,68.0,206.0,1.063
1359,6248,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME MILK",55,2.51,3.99,0.0,,68.0,425.0,2.91
1333,6219,"CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND",55,1.8,7.46,0.4,0.5,11.0,575.0,1.13
1494,6487,"CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP",54,1.01,6.38,0.0,2.01,13.0,20.0,1.342
1513,6549,"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",54,1.8,3.8,0.1,,12.0,327.0,2.63
1233,6039,"SOUP,MINESTRONE,CND,CHUNKY,RTS",53,2.13,8.64,2.4,2.17,25.0,288.0,1.0
1431,6396,"CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP",53,2.86,9.39,0.8,2.86,8.0,347.0,
1221,6022,"SOUP,CHICK RICE,CND,CHUNKY,RTS",53,5.11,5.41,0.4,0.6,14.0,370.0,1.0
7779,27034,"CAMPBELL'S,98% FAT FREE CRM OF MUSHROOM SOUP,COND",53,1.1,7.63,1.2,0.25,8.0,392.0,0.75
7768,27018,"CAMPBELL'S HOMESTYLE MICROWAVEABLE BOWLS,HEALTHY REQUEST MEX",53,2.86,7.76,1.2,1.22,16.0,167.0,0.408
1591,6968,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",53,1.0,4.53,0.2,1.72,19.0,20.0,1.7089999999999999
1425,6388,"CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP",53,3.27,7.35,1.2,1.63,8.0,376.0,
7763,27009,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUES",53,2.04,8.16,0.8,0.82,41.0,167.0,0.816
1570,6739,"SOUP,VEG BF,CND,COND,SINGLE BRAND",53,3.8,7.7,,,,555.0,0.40700000000000003
1544,6620,"SMART SOUP,FRENCH LENTIL",53,2.9,9.5,2.9,2.6,23.0,131.0,
1507,6543,CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP,53,2.86,8.16,1.2,1.63,8.0,347.0,
1505,6537,CAMPBELL'S HOMESTYLE HR MEXICAN STYLE CHICK TORTILLA,53,2.86,7.76,1.2,1.22,16.0,167.0,0.408
1492,6482,"CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP",52,3.93,5.57,0.7,1.31,7.0,46.0,1.1480000000000001
1312,6182,"SOUP,CRM OF MUSHROOM,CND,COND,RED NA",52,1.21,8.1,0.6,2.13,13.0,383.0,0.97
1455,6429,"CAMPBELL'S CHUNKY SOUPS,MANHATTAN CLAM CHOWDER",52,2.04,7.76,1.2,1.63,16.0,339.0,
7801,27062,"SOUP,BF BARLEY,READY TO SERVE",52,2.81,7.94,0.9,1.22,11.0,297.0,0.6779999999999999
1437,6403,"CAMPBELL'S CHUNKY SOUPS,GRILLED SIRLOIN STEAK HEARTY VEG SP",51,3.27,7.76,1.6,1.63,8.0,363.0,
1411,6363,"CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND",51,2.36,7.53,0.8,1.11,11.0,739.0,0.9000000000000001
1374,6316,"SOUP,HEALTHY CHOIC GARDEN VEG SOUP,CND",51,2.13,10.04,1.9,2.13,16.0,195.0,0.12000000000000001
1547,6623,"SMART SOUP,MOROCCAN CHICK PEA",51,2.0,9.7,3.1,4.2,23.0,148.0,
