,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6803,21278,"DOMINO'S 14"" CHS PIZZA,ULTIMATE DEEP DISH CRUST",265,10.76,33.48,2.4,4.22,166.0,615.0,6.496
6958,21477,"DIGIORNO PIZZA,PEPPERONI TOPPING,RISING CRUST,FRZ,BKD",265,12.46,31.15,2.3,5.1,157.0,743.0,6.531000000000001
6756,21228,"MCDONALD'S,HAMBURGER",264,12.92,30.28,1.3,6.03,127.0,494.0,7.272
6669,21023,"FAST FOODS,FRENCH TOAST W/ BUTTER",264,7.66,26.7,,,54.0,380.0,10.98
6760,21233,"MCDONALD'S, CHEESEBURGER",263,12.97,27.81,1.1,6.22,167.0,626.0,8.065999999999999
6702,21108,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; W/ CONDMNT",263,13.3,29.57,1.8,5.95,116.0,487.0,7.431
6712,21120,"FAST FOODS,HOTDOG,W/CORN FLR COATING (CORNDOG)",263,9.6,31.88,,,58.0,556.0,8.154
6857,21345,"MCDONALD'S,DOUBLE QUARTER POUNDER W/ CHS",262,16.96,14.43,1.0,3.49,106.0,476.0,12.328
6895,21400,"FAST FOODS,CHSBURGR; DBL,RG PTTY; DBL BN W/ CNDMNT & SPL SAU",261,11.94,21.53,1.4,3.26,127.0,485.0,10.133
6663,21013,"FAST FOODS,CROISSANT,W/EGG,CHS,&HAM",261,12.45,18.98,0.9,5.42,95.0,711.0,9.899000000000001
6776,21250,"BURGER KING,HAMBURGER",261,14.85,26.76,1.0,5.6,76.0,461.0,8.07
6783,21258,"BURGER KING,PREMIUM FISH SNDWCH",260,10.29,26.69,0.9,3.53,37.0,602.0,4.5440000000000005
6711,21119,"FAST FOODS,HOTDOG,W/CHILI",260,11.85,27.45,,,17.0,421.0,10.043
6889,21393,"FAST FOODS,HMBURGR; SNG,REG PTTY; DBL BN W/ CNDMNT & SPL SAU",259,12.17,22.69,1.4,,103.0,386.0,9.02
6762,21235,"MCDONALD'S,QUARTER POUNDER W/ CHS",258,14.59,19.95,1.4,4.91,144.0,579.0,10.251
6802,21277,"DOMINO'S 14"" CHS PIZZA,CLASSIC HAND-TOSSED CRUST",257,10.8,33.24,2.2,4.02,167.0,523.0,6.275
6699,21105,"FAST FOODS,FISH SNDWCH,W/TARTAR SAU",257,10.29,26.69,1.0,3.53,37.0,602.0,4.5440000000000005
6763,21237,"MCDONALD'S,BIG MAC",257,11.82,20.08,1.6,3.97,116.0,460.0,7.277
6768,21242,"WENDY'S,JR. HAMBURGER,W/ CHS",256,13.06,24.97,1.4,,92.0,660.0,9.579
6745,21202,"FAST FOODS,HAMBURGER,LRG,SINGLE PATTY,W/CONDMNT",256,15.68,22.14,1.1,3.67,87.0,374.0,10.189
6955,21474,"DIGIORNO PIZZA,CHS TOPPING,RISING CRUST,FRZ,BKD",256,12.8,31.78,2.4,5.0,192.0,696.0,5.368
6961,21480,"DIGIORNO PIZZA,SUPREME TOPPING,THIN CRISPY CRUST,FRZ,BKD",255,11.41,28.05,2.8,,161.0,555.0,8.334
6960,21479,"DIGIORNO PIZZA,SUPREME TOPPING,RISING CRUST,FRZ,BKD",255,11.74,27.93,2.3,4.71,139.0,712.0,7.337
6703,21109,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; W/ CONDMNT & VEG",254,11.74,24.81,,,57.0,458.0,8.564
6687,21091,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY,W/ CONDMNT & VEG",254,13.06,24.97,1.4,5.11,92.0,546.0,9.579
6910,21418,"POPEYES,SPICY CHICK STRIPS,ANALYZED 2006",253,19.61,18.52,1.2,0.0,12.0,997.0,10.064
