,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1331,6217,"SOUP,VEG,CND,LO NA,COND",65,2.2,12.11,2.1,4.31,20.0,385.0,0.35
1418,6375,"CAMPBELL'S,VEG BF SOUP,COND",65,3.79,11.8,2.1,1.7,13.0,656.0,0.19
1355,6243,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",65,2.36,5.76,0.3,2.82,68.0,357.0,1.993
1406,6355,"CAMPBELL'S RED & WHITE,GOLDEN MUSHROOM SOUP,COND",65,1.61,8.06,0.8,0.81,0.0,524.0,1.209
1499,6503,"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP",64,1.22,10.2,1.2,6.53,16.0,306.0,
1438,6404,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",63,2.88,8.31,2.9,1.47,31.0,349.0,1.351
1610,6990,"HEALTHY REQUEST,MINESTRONE SOUP,COND",63,2.38,11.9,2.4,3.17,32.0,325.0,0.0
1258,6071,"SOUP,VEG BF,CND,COND",63,4.45,8.11,1.6,0.89,13.0,706.0,1.32
1444,6411,"SOUP,CHS,CND,PREP W/ EQ VOLUME H2O",63,2.19,4.26,0.4,,57.0,388.0,3.9000000000000004
1265,6084,"CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND",63,2.38,11.9,1.6,2.38,16.0,706.0,0.397
1588,6965,"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",62,3.2,9.88,1.9,3.19,12.0,10.0,0.896
1472,6449,"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",61,3.2,9.88,1.9,3.19,12.0,336.0,0.896
1566,6733,"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",61,3.9,8.2,,,,707.0,1.047
1365,6256,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",61,2.78,5.64,0.1,2.62,69.0,354.0,3.077
1227,6028,"SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",61,1.74,9.74,1.2,2.7,19.0,698.0,0.61
1236,6042,"SOUP,MUSHROOM BARLEY,CND,COND",61,1.5,9.6,,,10.0,573.0,1.15
1290,6147,"SOUP,BF MUSHROOM,CND,COND",61,4.6,5.2,0.2,,4.0,709.0,2.2
1224,6025,"SOUP,CHICK VEG,CND,COND",61,2.94,7.01,0.7,1.26,14.0,706.0,1.73
1343,6230,"SOUP,CLAM CHOWDER,NEW ENG,CND,PREP W/ EQ VLM LOFAT (2%) MILK",61,3.24,7.46,0.3,2.81,70.0,273.0,1.362
1364,6253,"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME MILK",60,2.33,6.92,0.2,,67.0,230.0,2.2199999999999998
1525,6592,"CAMPBELL'S SOUP ON THE GO,CREAMY TOMATO SOUP",59,0.98,9.84,0.7,7.21,13.0,213.0,
1256,6068,"SOUP,VEGETARIAN VEG,CND,COND",59,1.72,9.78,0.5,3.13,17.0,516.0,0.92
1578,6955,"SOUP,CRM OF CHICK,CND,COND,RED NA",58,1.8,9.5,0.4,0.39,11.0,357.0,0.9
1426,6389,"CAMPBELL'S CHUNKY SOUPS,BF W/ WHITE & WILD RICE SOUP",57,3.27,9.8,0.8,2.04,8.0,363.0,
1462,6438,"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP",57,2.86,7.76,0.8,2.45,8.0,327.0,
1453,6426,"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",57,2.49,9.23,1.2,2.49,18.0,388.0,1.104
1546,6622,"SMART SOUP,INDIAN BEAN MASALA",57,3.3,10.5,2.6,2.3,22.0,92.0,
1254,6064,"SOUP,TURKEY,CHUNKY,CND,RTS",57,4.33,5.96,,,21.0,391.0,1.27
1433,6399,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK SAUSAGE GUMBO SOUP",57,2.86,8.57,0.8,1.63,8.0,347.0,
1447,6415,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",56,2.89,8.98,1.0,1.17,10.0,308.0,0.758
1479,6461,"SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",56,1.78,8.44,0.6,0.73,9.0,367.0,1.325
1288,6145,"CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND",56,3.17,6.35,0.8,0.79,0.0,651.0,0.794
1329,6215,"CAMPBELL'S,98% FAT FREE BROCCOLI CHS SOUP,COND",56,1.61,9.68,0.8,2.42,32.0,387.0,0.806
1226,6027,"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS",56,3.02,7.84,1.2,1.67,28.0,417.0,1.29
1231,6037,"SOUP,LENTIL W/HAM,CND,RTS",56,3.74,8.16,,,17.0,532.0,0.97
1235,6041,"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",56,2.38,7.94,0.8,0.79,0.0,603.0,
1241,6047,"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",56,2.38,8.73,0.8,0.79,0.0,381.0,1.191
1247,6054,"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND",56,2.38,9.52,0.8,0.79,0.0,381.0,0.794
1401,6349,"CAMPBELL'S RED & WHITE,SCOOBY-DOO SOUP,COND",56,2.38,8.73,0.8,0.79,16.0,627.0,1.191
1396,6339,"CAMPBELL'S,CRM OF MUSHROOM W/ RSTD GARLIC SOUP,COND",56,1.61,8.06,1.6,0.81,16.0,387.0,1.209
7766,27015,"CAMPBELL'S RED & WHITE,PHINEAS & FERB SOUP,COND",56,2.38,8.73,0.8,0.79,16.0,627.0,1.191
1323,6209,"CAMPBELL'S,98% FAT FREE CRM OF BROCCOLI SOUP,COND",56,1.61,8.06,1.6,0.81,16.0,565.0,
1332,6218,"CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND",56,0.81,7.26,1.6,0.81,16.0,387.0,1.209
1543,6619,"SMART SOUP,SANTA FE CORN CHOWDER",55,2.0,11.2,2.0,3.6,23.0,131.0,
1608,6988,"CAMPBELL'S HEALTHY REQUEST,CRM OF MUSHROOM SOUP,COND",55,1.29,8.6,1.0,1.79,71.0,327.0,0.66
1333,6219,"CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND",55,1.8,7.46,0.4,0.5,11.0,575.0,1.13
1409,6359,"SOUP,TOMATO,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",55,2.42,9.82,0.5,6.59,68.0,206.0,1.063
1359,6248,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME MILK",55,2.51,3.99,0.0,,68.0,425.0,2.91
1494,6487,"CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP",54,1.01,6.38,0.0,2.01,13.0,20.0,1.342
1513,6549,"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",54,1.8,3.8,0.1,,12.0,327.0,2.63
1570,6739,"SOUP,VEG BF,CND,COND,SINGLE BRAND",53,3.8,7.7,,,,555.0,0.40700000000000003
7779,27034,"CAMPBELL'S,98% FAT FREE CRM OF MUSHROOM SOUP,COND",53,1.1,7.63,1.2,0.25,8.0,392.0,0.75
1221,6022,"SOUP,CHICK RICE,CND,CHUNKY,RTS",53,5.11,5.41,0.4,0.6,14.0,370.0,1.0
1507,6543,CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP,53,2.86,8.16,1.2,1.63,8.0,347.0,
1431,6396,"CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP",53,2.86,9.39,0.8,2.86,8.0,347.0,
7763,27009,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUES",53,2.04,8.16,0.8,0.82,41.0,167.0,0.816
1544,6620,"SMART SOUP,FRENCH LENTIL",53,2.9,9.5,2.9,2.6,23.0,131.0,
1425,6388,"CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP",53,3.27,7.35,1.2,1.63,8.0,376.0,
1233,6039,"SOUP,MINESTRONE,CND,CHUNKY,RTS",53,2.13,8.64,2.4,2.17,25.0,288.0,1.0
1591,6968,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",53,1.0,4.53,0.2,1.72,19.0,20.0,1.7089999999999999
7801,27062,"SOUP,BF BARLEY,READY TO SERVE",52,2.81,7.94,0.9,1.22,11.0,297.0,0.6779999999999999
1492,6482,"CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP",52,3.93,5.57,0.7,1.31,7.0,46.0,1.1480000000000001
1526,6594,"CAMPBELL'S SOUP ON THE GO,NEW ENGLAND CLAM CHOWDER",52,0.66,4.26,1.0,0.66,7.0,292.0,
1455,6429,"CAMPBELL'S CHUNKY SOUPS,MANHATTAN CLAM CHOWDER",52,2.04,7.76,1.2,1.63,16.0,339.0,
1312,6182,"SOUP,CRM OF MUSHROOM,CND,COND,RED NA",52,1.21,8.1,0.6,2.13,13.0,383.0,0.97
1523,6589,"CAMPBELL'S SOUP ON THE GO,CREAMY BROCCOLI SOUP",52,0.66,4.26,1.0,1.31,13.0,289.0,
1411,6363,"CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND",51,2.36,7.53,0.8,1.11,11.0,739.0,0.9000000000000001
1374,6316,"SOUP,HEALTHY CHOIC GARDEN VEG SOUP,CND",51,2.13,10.04,1.9,2.13,16.0,195.0,0.12000000000000001
